100th repetition:

Population size: 716
Timestamp: 89575
Number of classifiers in population covered :0
Number of classifiers in population ga-ed :716
Covers occured: 25
Number of subsumptions: 1270

##0####=>1#0#### total macro fit: 0.4369 fit: 0.2184 num: 2 exp: 82 cov: 50% of dataset tp: 493 msa: 574 ns: 62.8969 origin: ga  created: 88395  last in correctset: 89541  subsumptions: 1 
##0####=>##0##0# total macro fit: 0.4311 fit: 0.2156 num: 2 exp: 357 cov: 50% of dataset tp: 2143.5 msa: 2499 ns: 52.7608 origin: ga  created: 84538  last in correctset: 89399  subsumptions: 1 
1######=>1#####1 total macro fit: 0.4297 fit: 0.2148 num: 2 exp: 464 cov: 50% of dataset tp: 2785 msa: 3248 ns: 61.7426 origin: ga  created: 83087  last in correctset: 89541  subsumptions: 13 
#1#####=>#1##1## total macro fit: 0.4293 fit: 0.2147 num: 2 exp: 580 cov: 50% of dataset tp: 3481 msa: 4060 ns: 51.7924 origin: ga  created: 81460  last in correctset: 89563  subsumptions: 8 
1#1####=>1###1## total macro fit: 0.4281 fit: 0.2141 num: 2 exp: 180 cov: 25% of dataset tp: 1080 msa: 1260 ns: 53.3512 origin: ga  created: 84501  last in correctset: 89506  subsumptions: 2 
#00#1##=>1###1## total macro fit: 0.4281 fit: 0.2141 num: 2 exp: 94 cov: 12.5% of dataset tp: 564 msa: 658 ns: 43.2272 origin: ga  created: 84344  last in correctset: 89541  subsumptions: 1 
#####1#=>0####1# total macro fit: 0.4278 fit: 0.2139 num: 2 exp: 2344 cov: 50% of dataset tp: 14063 msa: 16408 ns: 36.2344 origin: ga  created: 56767  last in correctset: 89555  subsumptions: 19 
1######=>1###1## total macro fit: 0.4274 fit: 0.2137 num: 2 exp: 531 cov: 50% of dataset tp: 3185.5 msa: 3717 ns: 53.2701 origin: ga  created: 82135  last in correctset: 89541  subsumptions: 6 
##0####=>#10#### total macro fit: 0.4259 fit: 0.213 num: 2 exp: 161 cov: 50% of dataset tp: 965.5 msa: 1127 ns: 64.4879 origin: ga  created: 87275  last in correctset: 89535  subsumptions: 4 
0######=>0####0# total macro fit: 0.4257 fit: 0.2129 num: 2 exp: 451 cov: 50% of dataset tp: 2704.5 msa: 3157 ns: 52.5065 origin: ga  created: 83262  last in correctset: 89555  subsumptions: 8 
###1##1=>0##1### total macro fit: 0.4247 fit: 0.2124 num: 2 exp: 422 cov: 25% of dataset tp: 2530 msa: 2954 ns: 45.4625 origin: ga  created: 77756  last in correctset: 89422  subsumptions: 10 
#0#####=>#0#1### total macro fit: 0.4246 fit: 0.2123 num: 2 exp: 303 cov: 50% of dataset tp: 1816.5 msa: 2121 ns: 68.5453 origin: ga  created: 85309  last in correctset: 89551  subsumptions: 2 
#00####=>1#0#### total macro fit: 0.4154 fit: 0.2077 num: 2 exp: 83 cov: 25% of dataset tp: 496.5 msa: 581 ns: 62.9264 origin: ga  created: 87205  last in correctset: 89541  subsumptions: 1 
0###0##=>0####1# total macro fit: 0.4122 fit: 0.2061 num: 2 exp: 44 cov: 25% of dataset tp: 263 msa: 308 ns: 50.0636 origin: ga  created: 88309  last in correctset: 89450  subsumptions: 1 
0######=>0#####1 total macro fit: 0.411 fit: 0.2055 num: 2 exp: 82 cov: 50% of dataset tp: 490 msa: 574 ns: 49.6436 origin: ga  created: 88414  last in correctset: 89555  subsumptions: 1 
##1##1#=>##1#### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 37 cov: 25% of dataset tp: 236.8 msa: 259 ns: 60.7145 origin: ga  created: 88598  last in correctset: 89466  subsumptions: 0 
